,Member,Party Name,Constituency
0,"Abdul Lateef,Shri",Congress,Nalgonda (Andhra Pradesh )
1,"Abdullah,Begum Akbar Jahan",NC,Srinagar (Jammu and Kashmir )
2,"Agarwal,Shri Satish Chandra",Janata Party,Jaipur (Rajasthan )
3,"Ahmed,Shri Halimuddin",Janata Party,Kishanganj (Bihar )
4,"Ahuja,Shri Subhash",Janata Party,Betul (Madhya Pradesh )
5,"Alagesan Mudaliar,Shri O.V.",Congress,Arakkonam (Tamil Nadu )
6,"Alhaj,Shri M.A. Hannan",Janata Party,Basirhat (West Bengal )
7,"Alluri,Shri Subhash Chandra Bose",Congress,Narasapur (Andhra Pradesh )
8,"Amat,Shri Debananda",Janata Party,Sundergarh-ST (Odisha )
9,"Amin,Prof. Ramdas Kishordas",Janata Party,Surendranagar (Gujarat )
10,"Amrit Nahata,Shri",Janata Party,Pali (Rajasthan )
11,"Ananthan,Shri Kumari",Janata Party,Nagercoil (Tamil Nadu )
12,"Anbalagan,Shri P.",AIADMK,Ramanathapuram (Tamil Nadu )
13,"Ankineedu,Shri Maganti",Congress,Machilipatnam (Andhra Pradesh )
14,"Ankineedu Prasada Rao,Shri P.",Congress,Bapatla (Andhra Pradesh )
15,"Ansari,Shri Faquir Ali",Janata Party,Mirzapur (Uttar Pradesh )
16,"Appalanaidu,Shri S.R.A.S.",Congress,Anakapalli (Andhra Pradesh )
17,"Argal,Shri Chhabiram",Janata Party,Morena-SC (Madhya Pradesh )
18,"Arunachalam,Shri Mookaiah",Congress,Tenkasi-SC (Tamil Nadu )
19,"Arunachalam,Shri V. Alias, `Aladi` `Aruna`",AIADMK,Tirunelveli (Tamil Nadu )
20,"Asaithambi,Shri A.V.P.",DMK,Madras North (Tamil Nadu )
21,"Ashokaraj,Shri A.",AIADMK,Perambalur-SC (Tamil Nadu )
22,"Austin,Dr. Henry",Congress,Ernakulam (Kerala )
23,"Avari,Shri Gev. Mancharsha",Congress,Nagpur (Maharashtra )
24,"Badri Narayan,Shri A.R.",Congress,Shimoga (Karnataka )
25,"Bagri,Shri Mani Ram",Janata Party,Mathura (Uttar Pradesh )
26,"Bahuguna,Smt. Kamala",Janata Party,Phulpur (Uttar Pradesh )
27,"Bahuguna,Shri Hemwati Nandan",Janata Party,Lucknow (Uttar Pradesh )
28,"Baig,Shri Arif",Janata Party,Bhopal (Madhya Pradesh )
29,"Bal,Shri Pradyumna Kishore",Janata Party,Jagatsinghpur (Odisha )
30,"Balak Ram,Shri",Janata Party,Shimla-SC (Himachal Pradesh )
31,"Balakrishniah,Shri Thamburu",Congress,Tirupathi-SC (Andhra Pradesh )
32,"Balbir Singh,Chowdhary",Janata Party,Hoshiarpur (Punjab )
33,"Baldev Prakash,Dr.",Janata Party,Amritsar (Punjab )
34,"Banatwalla,Shri Gulam Mehmood",ML,Ponnani (Kerala )
35,"Barkataki,Smt. Renuka Devi",Janata Party,Gauhati (Assam )
36,"Barman,Shri Palas",RSP,Balurghat-SC (West Bengal )
37,"Barnala,Shri Surjit Singh",Akali Dal,Sangrur (Punjab )
38,"Barrow,Shri A.E.T.",Unattached,
39,"Barua,Shri Bedabrata",Congress,Kaliabor (Assam )
40,"Barway,Shri Jatiram Chaitaram",Congress,Ramtek (Maharashtra )
41,"Basappa,Shri Kondaji",Congress,Davangere (Karnataka )
42,"Bashir Ahmad,Shri",Janata Party,Fatehpur (Uttar Pradesh )
43,"Bassayya,Swami Siddarameshwar",Congress,Koppal (Karnataka )
44,"Basu,Shri Chitta",AIFB,Barasat (West Bengal )
45,"Basu,Shri Dhirendranath",Congress,Katwa (West Bengal )
46,"Bateshwar Hembram,Shri",Janata Party,Dumka-ST (Bihar )
47,"Berwa,Shri Ram Kanwar",Janata Party,Tonk-SC (Rajasthan )
48,"Bhadoria,Shri Arjun Singh",Janata Party,Etawah (Uttar Pradesh )
49,"Bhagat Ram,Shri",CPI(M),Phillaur-SC (Punjab )
50,"Bhakta,Shri Manoranjan",Congress,Andaman and Nicobar Islands (Andaman and Nicobar Islands )
51,"Bhanwar,Shri Bhagirath Ramjee",Janata Party,Jhabua-ST (Madhya Pradesh )
52,"Bharat Bhushan,Shri",Janata Party,Nainital (Uttar Pradesh )
53,"Bhattacharya,Shri Dinendra Nath",CPI(M),Serampore (West Bengal )
54,"Bhattacharyya,Shri Shyamaprasanna",CPI(M),Uluberia (West Bengal )
55,"Bheeshma Dev,Shri M.",Congress,Nagarkurnool-SC (Andhra Pradesh )
56,"Bhumij,Shri Haren",Congress,Dibrugarh (Assam )
57,"Bhuvarahan,Shri Irruppu Govindaswamy",Congress,Cuddalore (Tamil Nadu )
58,"Boddiapalli,Shri Rajagopala Rao",Congress,Srikakulam (Andhra Pradesh )
59,"Bonde,Shri Nanasaheb",Congress,Amravati (Maharashtra )
60,"Borole,Shri Yashawant",Janata Party,Jalgaon (Maharashtra )
61,"Borooah,Shri Dev Kanta",Congress,Nowgong (Assam )
62,"Bosu,Shri Jyotirmoy",CPI(M),Diamond Harbour (West Bengal )
